#,LINK,ARABIC,ENGLISH
289,https://techs.com.sa/,شركة محطات التقنية لتقنية المعلومات,Tech Stations Company for IT Services (TSC)
290,https://techarch.com.sa/,شركة التراكيب التقنية لتقنية المعلومات,TECHARCH
291,https://www.tl-ss.com/,مؤسسة تقنية الحياة للتجارة,TECHLIFE
292,https://www.tcc-ict.com/,شركة تحكم التقنية المحدودة,Technology Control Company (TCC)
293,https://technofriend.net/,مؤسسة صديق التقنية لتقنية المعلومات,Technology Friend
294,https://www.techworld-it.com/,شركة عالم التقنية للاتصالات,.Technology World For Communication Co
295,https://www.tforce.com.sa/,مؤسسة القوي التقنية للاتصالات وتقنية المعلومات,TFORCE
296,https://www.thalesgroup.com/en,شركة تاليس دي اي اس العربية لتقنية المعلومات,Thales DIS Arabia for Information Technology Co.
297,https://www.thalesgroup.com/,شركة تاليس للحلول الأمنية والخدمات المحدودة,Thales Security Solutions & Services LLC.
298,https://www.thecloudshield.com/,شركة درع السحابة للاتصالات,The Cloud Shield
299,https://tng.com.sa/,شركة ذا نت ورك قايد العالمية لتقنية المعلومات,The Network Guide International Company
300,https://tt.net.sa/,مؤسسة تقنيات رقيقة للاتصالات وتقنية المعلومات,Thin Technology
301,https://threat.sa/,مؤسسة حلول المخاطر للأمن السيبراني,Threat Solutions
302,https://www.3wnetworks.com/,شركة ثري دبليو نت وركس العربية,Three W Networks Arabia company
303,https://tech-vil.com/,مؤسسة قرية التكنولوجيا,Technology village
304,https://www.techvisions.com.sa/,شركة مرئيات التقنية لتقنية المعلومات,Technology Visions for Information Technology
305,https://www.trendmicro.com/,شركة تريند مايكرو ليمتد,Trend Micro
306,https://trinergy-tech.com/,شركة ثلاثي الطاقة للتكنلوجيا السعودية العربية,Trinergy Technologies SA CO
307,https://tcg.com.sa/,مؤسسة الفحص الثلاثي لتقنية المعلومات,Triple Check Group
308,https://www.trustline.sa/,مؤسسة سطر الثقة لتقنية المعلومات,Trust Line
309,https://www.trustedbz.com/,شركة الأعمال الموثوقة للاتصالات وتقنية المعلومات,Trusted Business Compmany
310,https://trustedchain.sa/,شركة ميثاق النظم لتقنية المعلومات,Trusted Chain Company
311,https://trusted.sa/,شركة الثقة الأمنية لتقنية المعلومات,Trusted Partners
312,https://trustlink.sa/,رابط الثقة للاتصالات وتقنية المعلومات,TrustLink
313,https://www.tsasec.sa/,مؤسسة تسا للأمن السيبراني,TSA for cybersecurity &technical solutions
314,https://www.tss4it.com/,شركة الخدمات الموثوقة للأمن السيبراني,TSS DWC
315,https://www.tuv.com/saudi-arabia/ar/,شركة تي يو في راين لاند العربية,TÜV Rheinland Arabia LLC
316,https://www.unifieddefenses.com/,شركة الدفاع الموحد للأمن السيبراني,Unified Defenses for Cybersecurity
317,https://www.unit.sa/,شركة الوطنية المتحدة لتقنية المعلومات,United National Information Technology Co.
318,https://valueboxx.com/,مؤسسة الصندوق القيمة المحترفة للاتصالات و تقنية المعلومات,ValueBoxx
319,https://www.versos.com/,شركة الحلول المتوافقة للحاسبات الآلية,Versatile Solutions Co. For Computer
320,http://www.virtuport.com/,شركة فيرتوبوت لتقنية المعلومات,VirtuPort Cyber Security
321,https://www.watadenergy.com/,شركة وتد للطاقة والاتصالات المحدودة,Watad Energy & Communications Co ltd
322,https://wavestelecom.net/,مؤسسة موجات الاتصالات التقنية التجارية,Waves Telecom and Technology Trading Establishment
323,http://www.wipro.com/,شركة ويبرو العربية المحدودة,Wipro Arabia Limited
324,https://wjn.sa/,شركة وجن للأمن السيبراني,WJN Cybersecurity Company
325,http://xactasolutions.tech/,شركة معالم الحلول لتقنية المعلومات,XACTA Business Solutions
326,http://www.yamtech.com.sa/,شركة يم للتقنية المحدودة,Yam Technology
327,http://www.zaintech.com/,فرع شركة زين تك سوليوشنس,ZainTech Solutions
328,https://ebs.com.sa/index.html,شركة الحلول الفردية الإلكترونية,E-Business Solutions
